10 50 30
10 55 30
10 55 36
10 60 36
10 52 42
10 57 36
10 63 33
10 58 36
10 54 39
10 52 36
20 141 79
20 149 88
20 127 82
20 143 91
20 150 91
20 136 85
20 125 82
20 128 91
20 144 79
20 132 82
30 258 149
30 258 140
30 255 128
30 229 134
30 245 149
30 247 128
30 225 131
30 255 137
30 212 137
30 230 131
40 375 198
40 314 177
40 307 189
40 346 195
40 369 198
40 328 189
40 378 186
40 361 180
40 311 195
40 308 177
50 482 244
50 454 247
50 466 247
50 410 256
50 471 226
50 424 268
50 423 265
50 460 256
50 468 253
50 412 265
60 523 311
60 581 341
60 560 323
60 526 344
60 526 308
60 542 329
60 524 314
60 556 329
60 586 335
60 543 308
70 683 369
70 624 411
70 639 372
70 668 399
70 653 384
70 638 375
70 631 375
70 653 372
70 685 405
70 632 384
80 748 439
80 964 427
80 767 457
80 748 469
80 811 430
80 783 448
80 791 442
80 859 451
80 788 436
80 762 481
90 879 530
90 976 524
90 888 524
90 844 515
90 940 503
90 911 509
90 859 506
90 884 530
90 875 515
90 837 503
100 1002 564
100 1049 561
100 1053 564
100 1024 594
100 1028 588
100 982 585
100 995 594
100 1131 582
100 1103 609
100 987 579
110 1163 661
110 1189 628
110 1088 634
110 1163 694
110 1202 637
110 1339 640
110 1141 673
110 1103 652
110 1192 643
110 1137 640
120 1208 752
120 1255 707
120 1215 716
120 1297 695
120 1407 686
120 1411 707
120 1279 743
120 1248 725
120 1265 713
120 1431 704
130 1606 723
130 1334 792
130 1362 798
130 1395 804
130 1763 774
130 1370 798
130 1414 801
130 1411 795
130 1367 801
130 1522 774
140 1542 865
140 1539 835
140 1529 859
140 1533 895
140 1436 838
140 1454 904
140 1647 874
140 1539 916
140 1486 871
140 1683 889
150 1649 962
150 1726 935
150 1647 923
150 1683 944
150 1953 911
150 1606 977
150 1737 950
150 1629 947
150 1680 935
150 1663 947
160 1813 1038
160 1908 999
160 1814 987
160 1908 1032
160 1990 1008
160 1721 1041
160 2040 990
160 1855 984
160 1791 1002
160 1703 996
170 1981 1081
170 1994 1051
170 1994 1060
170 1881 1111
170 1864 1087
170 1880 1045
170 2149 1117
170 1894 1063
170 2021 1135
170 1860 1111
180 2073 1100
180 2005 1112
180 2151 1157
180 2313 1172
180 2180 1157
180 2107 1154
180 1935 1181
180 2004 1130
180 2153 1169
180 1975 1157
190 2234 1272
190 2456 1191
190 2243 1275
190 2596 1179
190 2143 1245
190 2245 1245
190 2459 1200
190 2080 1251
190 2239 1218
190 2108 1272
200 2466 1273
200 2604 1255
200 2358 1321
200 2326 1306
200 2715 1297
200 2533 1288
200 2382 1315
200 2484 1288
200 2511 1234
200 2755 1261
