10 54 63
20 209 228
30 464 493
40 819 858
50 1274 1323
60 1829 1888
70 2484 2553
80 3239 3318
90 4094 4183
100 5049 5148
110 6104 6213
120 7259 7378
130 8514 8643
140 9869 10008
150 11324 11473
160 12879 13038
170 14534 14703
180 16289 16468
190 18144 18333
200 20099 20298
